id,name
1,Torumees
2,Puidussepp
3,Keevitaja
4,Gaasispetsialist
5,Ventilatsioon
6,Üldtööline
7,Plaatija
8,Organiseerija
9,Katusepanija
10,Korstnapuhastaja
11,Sillutaja
12,Asfalteerija
13,Arhidekt
14,Insener
15,Klient
